binary_name,project,algorithm_label,architecture,optimization_level,compiler,compiler_version,build_type,build_system,binary_type,crypto_library,aes_constant,aes_constant_count,aes_symbol,arithmetic_count,basic_block_count_estimate,binary_size,blowfish_constant_count,branch_count,call_count,call_graph_fanout_estimate,cfg_edge_count_estimate,chacha20_constant_count,chacha_symbol,compiler_hints,cyclomatic_complexity_estimate,des_symbol,ecc_curve_p_256,ecc_curve_p_384,ecc_curve_p_521,ecc_curve_secp256k1,ecc_symbol,entropy,entry_point,executable_section_ratio,export_count,function_count,import_count,import_libraries,instruction_count,instruction_entropy,jump_count,known_crypto_library,logical_count,md5_constant,md5_constant_count,memory_count,opcode_bigram_entropy,opcode_bigram_unique_ratio,opcode_trigram_entropy,opcode_trigram_unique_ratio,optimization_hints,readonly_section_ratio,return_count,rsa_exponent_present,rsa_symbol,section_count,segment_count,sha1_constant,sha1_constant_count,sha224_constant_count,sha256_constant_count,sha384_constant_count,sha512_constant_count,sha_constant,sha_symbol,string_count,symbol_count,unique_opcode_ratio,writable_section_ratio
Hacl_Curve25519__gcc_O0_release.o,mbedtls,X25519,x86_64,O0,gcc,gcc (cached build),release,direct_compile,object,mbedtls,False,0,False,184.0,225.0,19024,0,224.0,184.0,3.471698,224.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,True,5.115903,0,,1,53,0,,2577.0,2.327942,40.0,False,92.0,False,0,1945.0,3.932351,0.036491,5.204398,0.080388,likely_release_or_stripped,,41.0,True,False,13,0,False,0,0,0,0,0,False,False,66,53,0.010865,
Hacl_Curve25519__gcc_O0_debug.o,mbedtls,X25519,x86_64,O0,gcc,gcc (cached build),debug,direct_compile,object,mbedtls,False,0,False,184.0,225.0,39544,0,224.0,184.0,3.471698,224.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,True,5.161175,0,,1,53,0,,2577.0,2.327942,40.0,False,92.0,False,0,1945.0,3.932351,0.036491,5.204398,0.080388,likely_debug_or_unoptimized,,41.0,True,False,22,0,False,0,0,0,0,0,False,False,215,53,0.010865,
Hacl_Curve25519__clang_O2_debug.o,mbedtls,X25519,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,mbedtls,False,0,False,54.0,205.0,55328,0,204.0,198.0,9.0,204.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,True,5.131747,0,,1,22,0,,1600.0,2.884932,6.0,False,158.0,False,0,1138.0,4.539988,0.082552,5.721316,0.165207,likely_debug_or_unoptimized,,8.0,False,False,24,0,False,0,0,0,0,0,False,False,322,22,0.020625,
Hacl_Curve25519__clang_O2_release.o,mbedtls,X25519,x86_64,O2,clang,clang (cached build),release,direct_compile,object,mbedtls,False,0,False,54.0,205.0,13544,0,204.0,198.0,9.0,204.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,True,4.920365,0,,1,22,0,,1600.0,2.884932,6.0,False,158.0,False,0,1138.0,4.539988,0.082552,5.721316,0.165207,likely_release_or_stripped,,8.0,False,False,11,0,False,0,0,0,0,0,False,False,183,22,0.020625,
Hacl_Curve25519__clang_O1_release.o,mbedtls,X25519,x86_64,O1,clang,clang (cached build),release,direct_compile,object,mbedtls,False,0,False,113.0,187.0,10776,0,186.0,135.0,7.5,186.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,True,5.194244,0,,1,18,0,,1448.0,3.148245,51.0,False,113.0,False,0,945.0,4.876953,0.083621,6.142219,0.168741,likely_release_or_stripped,,6.0,False,False,10,0,False,0,0,0,0,0,False,False,115,18,0.020718,
Hacl_Curve25519__clang_O1_debug.o,mbedtls,X25519,x86_64,O1,clang,clang (cached build),debug,direct_compile,object,mbedtls,False,0,False,113.0,187.0,48784,0,186.0,135.0,7.5,186.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,True,5.067319,0,,1,18,0,,1448.0,3.148245,51.0,False,113.0,False,0,945.0,4.876953,0.083621,6.142219,0.168741,likely_debug_or_unoptimized,,6.0,False,False,23,0,False,0,0,0,0,0,False,False,252,18,0.020718,
Hacl_Curve25519__gcc_O3_debug.o,mbedtls,X25519,x86_64,O3,gcc,gcc (cached build),debug,direct_compile,object,mbedtls,False,0,False,215.0,876.0,326776,0,875.0,726.0,36.3,875.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,True,4.557589,0,,1,20,0,,7223.0,2.589679,149.0,False,394.0,False,0,5250.0,4.344511,0.037247,5.640527,0.084891,likely_debug_or_unoptimized,,6.0,True,False,26,0,False,0,0,0,0,0,False,False,1058,20,0.005261,
Hacl_Curve25519__gcc_O2_release.o,mbedtls,X25519,x86_64,O2,gcc,gcc (cached build),release,direct_compile,object,mbedtls,False,0,False,93.0,200.0,12792,0,199.0,157.0,6.541667,199.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,True,5.077783,0,,1,24,0,,1587.0,2.851811,42.0,False,90.0,False,0,1109.0,4.79799,0.102144,6.149352,0.208202,likely_release_or_stripped,,10.0,False,False,14,0,False,0,0,0,0,0,False,False,200,24,0.018904,
Hacl_Curve25519__clang_O0_release.o,mbedtls,X25519,x86_64,O0,clang,clang (cached build),release,direct_compile,object,mbedtls,False,0,False,158.0,216.0,19896,0,215.0,182.0,3.433962,215.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,True,5.071088,0,,1,53,0,,2474.0,2.015344,33.0,False,91.0,False,0,1912.0,3.298295,0.029519,4.315669,0.058657,likely_release_or_stripped,,41.0,False,False,10,0,False,0,0,0,0,0,False,False,72,53,0.009701,
Hacl_Curve25519__clang_O3_release.o,mbedtls,X25519,x86_64,O3,clang,clang (cached build),release,direct_compile,object,mbedtls,False,0,False,53.0,203.0,13712,0,202.0,197.0,9.380952,202.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,True,4.9495,0,,1,21,0,,1682.0,2.85965,5.0,False,198.0,False,0,1184.0,4.526636,0.07912,5.706537,0.158929,likely_release_or_stripped,,8.0,False,False,11,0,False,0,0,0,0,0,False,False,196,21,0.01962,
Hacl_Curve25519__gcc_O2_debug.o,mbedtls,X25519,x86_64,O2,gcc,gcc (cached build),debug,direct_compile,object,mbedtls,False,0,False,93.0,200.0,96264,0,199.0,157.0,6.541667,199.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,True,4.312909,0,,1,24,0,,1587.0,2.851811,42.0,False,90.0,False,0,1109.0,4.79799,0.102144,6.149352,0.208202,likely_debug_or_unoptimized,,10.0,False,False,26,0,False,0,0,0,0,0,False,False,377,24,0.018904,
